name,time_mean,time_se,2_phase_success_mean,2_phase_success_se,3_phase_success_mean,3_phase_success_se
base (1.0),0.4153162593129097,0.02374192413487688,0.9929115907957541,0.00021489712071960868,0.9595819976668726,0.0006087796698592633
pi (1.0),0.43050613061168885,0.020808889829500507,0.9901391461680955,0.00024843942499356853,0.9591361139973281,0.0006271913728473746
pi+ (1.0),0.5422158158979797,0.02776259804502606,0.9898460969635346,0.00024941769106920125,0.9225580536284467,0.0008484999450137074
base (0.1),0.5200579709703979,0.02963764821143894,0.9879755522991597,0.00028790857587159403,0.9350763657824313,0.0007748546609532623
pi (0.1),0.5373929600710715,0.020955269456578263,0.9870319533409126,0.0002815434590789547,0.9224852493824135,0.0008461189005097179
pi+ (0.1),0.4890580552176864,0.029111295834972253,0.9937683834895286,0.00020110217072798862,0.9435671041845674,0.0007185482144683114
